id,type,initial_frame,detection_duration,lenght
391,truck,7243,20,367.0001220703125
392,car,7266,50,116.308837890625
393,train,7295,3,414.0450134277344
394,car,7324,44,137.3419189453125
395,truck,7330,13,377.1905517578125
396,car,7336,37,151.2769775390625
397,car,7384,44,154.867431640625
398,truck,7401,20,206.37042236328125
399,car,7408,1,67.292724609375
400,car,7415,1,74.333251953125
401,car,7420,41,152.7052001953125
402,car,7425,1,73.36181640625
403,car,7456,29,221.50885009765625
404,car,7497,21,145.92791748046875
405,truck,7500,8,128.3436279296875
406,car,7553,51,131.0345458984375
407,motorcycle,7561,16,81.5135498046875
408,truck,7572,13,264.25621032714844
409,truck,7622,20,397.19287109375
410,truck,7659,2,177.7822265625
411,car,7680,32,175.75099182128906
412,car,7687,55,108.7698974609375
413,car,7715,52,157.75592041015625
414,car,7769,26,134.9827880859375
415,car,7773,29,115.4208984375
416,truck,7801,14,263.44700622558594
417,car,7802,53,145.5345458984375
418,car,7820,48,131.02484130859375
419,car,7856,37,166.73675537109375
420,car,7866,53,130.28106689453125
421,car,7920,50,128.2181396484375
422,truck,7938,1,160.0452880859375
423,car,7967,1,136.9727783203125
424,car,7986,33,118.4443359375
425,car,7992,38,142.3355712890625
426,bus,8003,26,404.8665161132813
427,car,8051,47,139.32330322265625
428,train,8063,3,522.14306640625
429,truck,8108,3,326.1324462890625
430,train,8142,7,220.43505859375
431,car,8153,44,136.7886962890625
432,motorcycle,8165,8,70.4718017578125
433,car,8177,6,94.952880859375
434,car,8178,44,173.43505859375
435,truck,8185,14,186.0755615234375
436,car,8204,35,151.71844482421875
437,car,8212,31,139.9508056640625
438,car,8250,1,122.3812255859375
439,car,8256,21,115.17529296875
440,truck,8282,8,133.95486450195312
441,motorcycle,8285,1,71.399169921875
442,truck,8318,10,400.2377014160156
443,truck,8365,29,264.6192626953125
444,bus,8365,1,503.1733703613281
445,train,8377,1,518.530517578125
446,car,8379,51,131.2872314453125
447,car,8400,46,142.236083984375
448,car,8400,3,38.7235107421875
449,car,8403,52,145.9378662109375
450,train,8434,34,401.82958984375
451,car,8470,32,156.30548095703125
452,bus,8475,1,410.9658508300781
453,bus,8499,53,389.8292236328125
454,car,8512,13,144.8170166015625
455,motorcycle,8545,1,68.366943359375
456,motorcycle,8549,2,65.04302978515625
457,train,8585,11,443.74668884277344
458,car,8586,51,140.0054931640625
459,car,8606,32,121.90740966796876
460,truck,8617,19,288.00999450683594
461,car,8637,51,140.7724609375
462,train,8697,1,276.91943359375
463,car,8702,52,135.6873779296875
464,car,8710,17,130.02032470703125
465,bus,8715,3,413.3211669921875
466,bus,8719,1,411.7203369140625
467,car,8779,45,149.159912109375
468,train,8782,7,519.0111083984375
469,truck,8796,23,232.12106323242188
470,car,8798,39,85.638916015625
471,car,8811,41,189.1848297119141
472,car,8845,29,160.81951904296875
473,bus,8868,28,583.3316040039062
474,car,8884,24,153.9259033203125
475,car,8898,21,135.1422119140625
476,truck,8905,25,258.32200622558594
477,car,8906,4,98.102294921875
478,truck,8929,15,125.7564697265625
479,car,8959,54,149.848876953125
480,car,8978,3,166.4205322265625
481,car,8992,36,152.03131103515625
482,car,8999,9,97.106689453125
483,truck,9002,48,342.3743896484375
484,truck,9003,1,126.3729248046875
485,car,9041,49,162.07911682128906
486,truck,9047,22,335.6189270019531
487,car,9053,46,123.68316650390624
488,car,9091,49,136.704345703125
489,bus,9101,47,409.2643432617188
490,truck,9147,35,152.78466796875
491,car,9160,27,122.320556640625
492,car,9199,40,188.75140380859372
493,truck,9210,16,179.63946533203125
494,car,9223,10,121.61309814453124
495,truck,9246,44,181.0574951171875
496,car,9279,53,126.073974609375
497,car,9319,31,128.8260498046875
498,truck,9321,27,211.6032867431641
499,truck,9343,33,281.09852600097656
500,car,9364,6,115.4215087890625
501,car,9398,16,128.0953369140625
502,car,9399,40,182.57122802734372
503,car,9451,40,159.7757568359375
504,truck,9495,26,214.95106506347656
505,car,9495,1,87.653564453125
506,car,9569,26,115.80804443359376
507,car,9571,34,156.15185546875
508,car,9603,39,125.98101806640624
